2458668.500000000, A.D. 2019-Jul-04 00:00:00.0000,  2.027873566936922E-01, -9.963238789875005E-01,  4.453100906916791E-05,
2458669.500000000, A.D. 2019-Jul-05 00:00:00.0000,  2.193427158126323E-01, -9.928132426466539E-01,  4.366942030672796E-05,
2458670.500000000, A.D. 2019-Jul-06 00:00:00.0000,  2.358350866991365E-01, -9.890217596825989E-01,  4.286735739712578E-05,
2458671.500000000, A.D. 2019-Jul-07 00:00:00.0000,  2.522595272679229E-01, -9.849508544504713E-01,  4.216135241692986E-05,
2458672.500000000, A.D. 2019-Jul-08 00:00:00.0000,  2.686112264399528E-01, -9.806020893952313E-01,  4.157969340027630E-05,
2458673.500000000, A.D. 2019-Jul-09 00:00:00.0000,  2.848855144901401E-01, -9.759771252816803E-01,  4.114050741858889E-05,
2458674.500000000, A.D. 2019-Jul-10 00:00:00.0000,  3.010778590343163E-01, -9.710776842722060E-01,  4.085119291331145E-05,
2458675.500000000, A.D. 2019-Jul-11 00:00:00.0000,  3.171838510466942E-01, -9.659055203514039E-01,  4.070893862427968E-05,
2458676.500000000, A.D. 2019-Jul-12 00:00:00.0000,  3.331991856343618E-01, -9.604623983921889E-01,  4.070194764046880E-05,
2458677.500000000, A.D. 2019-Jul-13 00:00:00.0000,  3.491196410986970E-01, -9.547500810987799E-01,  4.081103340286393E-05,
2458678.500000000, A.D. 2019-Jul-14 00:00:00.0000,  3.649410583300206E-01, -9.487703223565067E-01,  4.101136574742550E-05,
2458679.500000000, A.D. 2019-Jul-15 00:00:00.0000,  3.806593215477270E-01, -9.425248656544800E-01,  4.127424003447522E-05,
2458680.500000000, A.D. 2019-Jul-16 00:00:00.0000,  3.962703409489471E-01, -9.360154466119135E-01,  4.156879213036638E-05,
2458681.500000000, A.D. 2019-Jul-17 00:00:00.0000,  4.117700377477337E-01, -9.292437988514327E-01,  4.186359505606382E-05,
2458682.500000000, A.D. 2019-Jul-18 00:00:00.0000,  4.271543320762460E-01, -9.222116624311978E-01,  4.212807325103303E-05,
2458683.500000000, A.D. 2019-Jul-19 00:00:00.0000,  4.424191340751700E-01, -9.149207938824666E-01,  4.233367868713645E-05,
2458684.500000000, A.D. 2019-Jul-20 00:00:00.0000,  4.575603381760311E-01, -9.073729767805732E-01,  4.245479858080697E-05,
2458685.500000000, A.D. 2019-Jul-21 00:00:00.0000,  4.725738201573721E-01, -8.995700318406171E-01,  4.246940347244884E-05,
2458686.500000000, A.D. 2019-Jul-22 00:00:00.0000,  4.874554361763923E-01, -8.915138258098692E-01,  4.235948585403810E-05,
2458687.500000000, A.D. 2019-Jul-23 00:00:00.0000,  5.022010227492328E-01, -8.832062788752392E-01,  4.211137202383757E-05,
2458688.500000000, A.D. 2019-Jul-24 00:00:00.0000,  5.168063966296692E-01, -8.746493708299751E-01,  4.171600636475601E-05,
2458689.500000000, A.D. 2019-Jul-25 00:00:00.0000,  5.312673537280601E-01, -8.658451467754563E-01,  4.116930484322184E-05,
2458690.500000000, A.D. 2019-Jul-26 00:00:00.0000,  5.455796666302307E-01, -8.567957236203564E-01,  4.047265092992428E-05,
2458691.500000000, A.D. 2019-Jul-27 00:00:00.0000,  5.597390809621808E-01, -8.475032990154722E-01,  3.963355691673358E-05,
2458692.500000000, A.D. 2019-Jul-28 00:00:00.0000,  5.737413118621536E-01, -8.379701644775883E-01,  3.866642728631386E-05,
2458693.500000000, A.D. 2019-Jul-29 00:00:00.0000,  5.875820431480197E-01, -8.281987240088630E-01,  3.759323203421123E-05,
2458694.500000000, A.D. 2019-Jul-30 00:00:00.0000,  6.012569331028810E-01, -8.181915180831962E-01,  3.644374162884695E-05,
2458695.500000000, A.D. 2019-Jul-31 00:00:00.0000,  6.147616313388519E-01, -8.079512501811322E-01,  3.525485547709603E-05,
2458696.500000000, A.D. 2019-Aug-01 00:00:00.0000,  6.280918097091930E-01, -7.974808096039007E-01,  3.406859375555746E-05,
2458697.500000000, A.D. 2019-Aug-02 00:00:00.0000,  6.412432059149410E-01, -7.867832818862750E-01,  3.292863794896915E-05,
2458698.500000000, A.D. 2019-Aug-03 00:00:00.0000,  6.542116723701690E-01, -7.758619393178299E-01,  3.187587287673402E-05,
2458699.500000000, A.D. 2019-Aug-04 00:00:00.0000,  6.669932185195454E-01, -7.647202099611486E-01,  3.094392642527216E-05,
2458700.500000000, A.D. 2019-Aug-05 00:00:00.0000,  6.795840357641186E-01, -7.533616315936478E-01,  3.015583558787347E-05,
2458701.500000000, A.D. 2019-Aug-06 00:00:00.0000,  6.919805005621704E-01, -7.417898022301322E-01,  2.952254429704969E-05,
2458702.500000000, A.D. 2019-Aug-07 00:00:00.0000,  7.041791590642185E-01, -7.300083382233908E-01,  2.904323457941657E-05,
2458703.500000000, A.D. 2019-Aug-08 00:00:00.0000,  7.161767012379038E-01, -7.180208458066014E-01,  2.870694890993961E-05,
2458704.500000000, A.D. 2019-Aug-09 00:00:00.0000,  7.279699324611089E-01, -7.058309062567607E-01,  2.849480569860954E-05,
2458705.500000000, A.D. 2019-Aug-10 00:00:00.0000,  7.395557477766029E-01, -6.934420714493235E-01,  2.838226259732793E-05,
2458706.500000000, A.D. 2019-Aug-11 00:00:00.0000,  7.509311108575937E-01, -6.808578658264958E-01,  2.834113872314205E-05,
2458707.500000000, A.D. 2019-Aug-12 00:00:00.0000,  7.620930376176753E-01, -6.680817916539744E-01,  2.834131610531454E-05,
2458708.500000000, A.D. 2019-Aug-13 00:00:00.0000,  7.730385835100162E-01, -6.551173357283875E-01,  2.835215375447857E-05,
