2458668.500000000, A.D. 2019-Jul-04 00:00:00.0000,  2.911900785100097E+01, -6.924761108999361E+00, -5.285611707968297E-01,
2458669.500000000, A.D. 2019-Jul-05 00:00:00.0000,  2.911972046453931E+01, -6.921688202092235E+00, -5.286405504517693E-01,
2458670.500000000, A.D. 2019-Jul-06 00:00:00.0000,  2.912043316626417E+01, -6.918614899597019E+00, -5.287199665299769E-01,
2458671.500000000, A.D. 2019-Jul-07 00:00:00.0000,  2.912114589383510E+01, -6.915541607946646E+00, -5.287997438040770E-01,
2458672.500000000, A.D. 2019-Jul-08 00:00:00.0000,  2.912185822509331E+01, -6.912468632261574E+00, -5.288798261058777E-01,
2458673.500000000, A.D. 2019-Jul-09 00:00:00.0000,  2.912256981604413E+01, -6.909395859605577E+00, -5.289598345163260E-01,
2458674.500000000, A.D. 2019-Jul-10 00:00:00.0000,  2.912328075828369E+01, -6.906322876318173E+00, -5.290394609076988E-01,
2458675.500000000, A.D. 2019-Jul-11 00:00:00.0000,  2.912399148360769E+01, -6.903249397324664E+00, -5.291187876790164E-01,
2458676.500000000, A.D. 2019-Jul-12 00:00:00.0000,  2.912470231591202E+01, -6.900175562298224E+00, -5.291982023467298E-01,
2458677.500000000, A.D. 2019-Jul-13 00:00:00.0000,  2.912541313482735E+01, -6.897101790522219E+00, -5.292779951040564E-01,
2458678.500000000, A.D. 2019-Jul-14 00:00:00.0000,  2.912612350089744E+01, -6.894028345742720E+00, -5.293580576653788E-01,
2458679.500000000, A.D. 2019-Jul-15 00:00:00.0000,  2.912683311160480E+01, -6.890955062302826E+00, -5.294379955720090E-01,
2458680.500000000, A.D. 2019-Jul-16 00:00:00.0000,  2.912754211568852E+01, -6.887881517409769E+00, -5.295175379263125E-01,
2458681.500000000, A.D. 2019-Jul-17 00:00:00.0000,  2.912825095846995E+01, -6.884807469896965E+00, -5.295968184817504E-01,
2458682.500000000, A.D. 2019-Jul-18 00:00:00.0000,  2.912895991950246E+01, -6.881733110926853E+00, -5.296762368730871E-01,
2458683.500000000, A.D. 2019-Jul-19 00:00:00.0000,  2.912966882229219E+01, -6.878658865263039E+00, -5.297560435694818E-01,
2458684.500000000, A.D. 2019-Jul-20 00:00:00.0000,  2.913037721760468E+01, -6.875584950448469E+00, -5.298360799097031E-01,
2458685.500000000, A.D. 2019-Jul-21 00:00:00.0000,  2.913108484974313E+01, -6.872511150775876E+00, -5.299159427043870E-01,
2458686.500000000, A.D. 2019-Jul-22 00:00:00.0000,  2.913179192221161E+01, -6.869437041471226E+00, -5.299954030045224E-01,
2458687.500000000, A.D. 2019-Jul-23 00:00:00.0000,  2.913249888639224E+01, -6.866362429442306E+00, -5.300746436992119E-01,
2458688.500000000, A.D. 2019-Jul-24 00:00:00.0000,  2.913320597287559E+01, -6.863287554188781E+00, -5.301540697658267E-01,
2458689.500000000, A.D. 2019-Jul-25 00:00:00.0000,  2.913391295210503E+01, -6.860212838927314E+00, -5.302338877274205E-01,
2458690.500000000, A.D. 2019-Jul-26 00:00:00.0000,  2.913461937261833E+01, -6.857138451489732E+00, -5.303138912960333E-01,
2458691.500000000, A.D. 2019-Jul-27 00:00:00.0000,  2.913532502970201E+01, -6.854064129903282E+00, -5.303936754489392E-01,
2458692.500000000, A.D. 2019-Jul-28 00:00:00.0000,  2.913603017788193E+01, -6.850989454631929E+00, -5.304730570127658E-01,
2458693.500000000, A.D. 2019-Jul-29 00:00:00.0000,  2.913673526670929E+01, -6.847914283801425E+00, -5.305522647391099E-01,
2458694.500000000, A.D. 2019-Jul-30 00:00:00.0000,  2.913744047388625E+01, -6.844838900830033E+00, -5.306317018546485E-01,
2458695.500000000, A.D. 2019-Jul-31 00:00:00.0000,  2.913814552098797E+01, -6.841763719946210E+00, -5.307115274049296E-01,
2458696.500000000, A.D. 2019-Aug-01 00:00:00.0000,  2.913884996239484E+01, -6.838688856342389E+00, -5.307914911467058E-01,
2458697.500000000, A.D. 2019-Aug-02 00:00:00.0000,  2.913955364806300E+01, -6.835614006457636E+00, -5.308711933534895E-01,
2458698.500000000, A.D. 2019-Aug-03 00:00:00.0000,  2.914025687920988E+01, -6.832538763475615E+00, -5.309504999159826E-01,
2458699.500000000, A.D. 2019-Aug-04 00:00:00.0000,  2.914096009565247E+01, -6.829463039489774E+00, -5.310296815374990E-01,
2458700.500000000, A.D. 2019-Aug-05 00:00:00.0000,  2.914166341885072E+01, -6.826387157102751E+00, -5.311091326494743E-01,
2458701.500000000, A.D. 2019-Aug-06 00:00:00.0000,  2.914236652606605E+01, -6.823311514304457E+00, -5.311889619196447E-01,
2458702.500000000, A.D. 2019-Aug-07 00:00:00.0000,  2.914306898512966E+01, -6.820236171386947E+00, -5.312688793387249E-01,
2458703.500000000, A.D. 2019-Aug-08 00:00:00.0000,  2.914377070333258E+01, -6.817160788224712E+00, -5.313484973457755E-01,
2458704.500000000, A.D. 2019-Aug-09 00:00:00.0000,  2.914447202357441E+01, -6.814084977567529E+00, -5.314277332292825E-01,
2458705.500000000, A.D. 2019-Aug-10 00:00:00.0000,  2.914517336858419E+01, -6.811008707002433E+00, -5.315068950587992E-01,
2458706.500000000, A.D. 2019-Aug-11 00:00:00.0000,  2.914587480171881E+01, -6.807932332861787E+00, -5.315863617764963E-01,
2458707.500000000, A.D. 2019-Aug-12 00:00:00.0000,  2.914657596153111E+01, -6.804856230253497E+00, -5.316661898784539E-01,
2458708.500000000, A.D. 2019-Aug-13 00:00:00.0000,  2.914727643672407E+01, -6.801780403740412E+00, -5.317460546638860E-01,
