2458668.500000000, A.D. 2019-Jul-04 00:00:00.0000, -1.124262750286534E+00,  1.209533728781713E+00,  5.292941504585964E-02,
2458669.500000000, A.D. 2019-Jul-05 00:00:00.0000, -1.133948778926460E+00,  1.201160099524841E+00,  5.299161412648424E-02,
2458670.500000000, A.D. 2019-Jul-06 00:00:00.0000, -1.143560475037363E+00,  1.192707736479737E+00,  5.305033948633513E-02,
2458671.500000000, A.D. 2019-Jul-07 00:00:00.0000, -1.153097276947795E+00,  1.184177265034798E+00,  5.310559044795381E-02,
2458672.500000000, A.D. 2019-Jul-08 00:00:00.0000, -1.162558627673191E+00,  1.175569313277062E+00,  5.315736650589380E-02,
2458673.500000000, A.D. 2019-Jul-09 00:00:00.0000, -1.171943974906303E+00,  1.166884511969725E+00,  5.320566732586292E-02,
2458674.500000000, A.D. 2019-Jul-10 00:00:00.0000, -1.181252771007050E+00,  1.158123494529472E+00,  5.325049274348342E-02,
2458675.500000000, A.D. 2019-Jul-11 00:00:00.0000, -1.190484472993201E+00,  1.149286897003605E+00,  5.329184276332768E-02,
2458676.500000000, A.D. 2019-Jul-12 00:00:00.0000, -1.199638542532314E+00,  1.140375358048215E+00,  5.332971755853437E-02,
2458677.500000000, A.D. 2019-Jul-13 00:00:00.0000, -1.208714445933954E+00,  1.131389518907904E+00,  5.336411747061042E-02,
2458678.500000000, A.D. 2019-Jul-14 00:00:00.0000, -1.217711654141264E+00,  1.122330023395766E+00,  5.339504300886442E-02,
2458679.500000000, A.D. 2019-Jul-15 00:00:00.0000, -1.226629642722160E+00,  1.113197517872382E+00,  5.342249484948313E-02,
2458680.500000000, A.D. 2019-Jul-16 00:00:00.0000, -1.235467891861175E+00,  1.103992651224473E+00,  5.344647383476119E-02,
2458681.500000000, A.D. 2019-Jul-17 00:00:00.0000, -1.244225886352082E+00,  1.094716074844889E+00,  5.346698097269414E-02,
2458682.500000000, A.D. 2019-Jul-18 00:00:00.0000, -1.252903115590279E+00,  1.085368442614304E+00,  5.348401743651436E-02,
2458683.500000000, A.D. 2019-Jul-19 00:00:00.0000, -1.261499073564464E+00,  1.075950410883406E+00,  5.349758456383336E-02,
2458684.500000000, A.D. 2019-Jul-20 00:00:00.0000, -1.270013258848618E+00,  1.066462638454435E+00,  5.350768385577330E-02,
2458685.500000000, A.D. 2019-Jul-21 00:00:00.0000, -1.278445174595424E+00,  1.056905786562437E+00,  5.351431697662703E-02,
2458686.500000000, A.D. 2019-Jul-22 00:00:00.0000, -1.286794328530497E+00,  1.047280518857333E+00,  5.351748575386141E-02,
2458687.500000000, A.D. 2019-Jul-23 00:00:00.0000, -1.295060232945877E+00,  1.037587501387096E+00,  5.351719217775189E-02,
2458688.500000000, A.D. 2019-Jul-24 00:00:00.0000, -1.303242404692476E+00,  1.027827402581077E+00,  5.351343840042918E-02,
2458689.500000000, A.D. 2019-Jul-25 00:00:00.0000, -1.311340365172799E+00,  1.018000893232830E+00,  5.350622673488595E-02,
2458690.500000000, A.D. 2019-Jul-26 00:00:00.0000, -1.319353640334974E+00,  1.008108646483313E+00,  5.349555965450498E-02,
2458691.500000000, A.D. 2019-Jul-27 00:00:00.0000, -1.327281760667610E+00,  9.981513378055941E-01,  5.348143979298631E-02,
2458692.500000000, A.D. 2019-Jul-28 00:00:00.0000, -1.335124261194361E+00,  9.881296449905379E-01,  5.346386994412242E-02,
2458693.500000000, A.D. 2019-Jul-29 00:00:00.0000, -1.342880681468018E+00,  9.780442481318051E-01,  5.344285306117984E-02,
2458694.500000000, A.D. 2019-Jul-30 00:00:00.0000, -1.350550565564953E+00,  9.678958296097786E-01,  5.341839225622651E-02,
2458695.500000000, A.D. 2019-Jul-31 00:00:00.0000, -1.358133462080463E+00,  9.576850740759379E-01,  5.339049079978107E-02,
2458696.500000000, A.D. 2019-Aug-01 00:00:00.0000, -1.365628924124344E+00,  9.474126684389282E-01,  5.335915212059662E-02,
2458697.500000000, A.D. 2019-Aug-02 00:00:00.0000, -1.373036509315778E+00,  9.370793018516876E-01,  5.332437980510412E-02,
2458698.500000000, A.D. 2019-Aug-03 00:00:00.0000, -1.380355779777926E+00,  9.266856656982140E-01,  5.328617759658082E-02,
2458699.500000000, A.D. 2019-Aug-04 00:00:00.0000, -1.387586302133613E+00,  9.162324535797083E-01,  5.324454939465247E-02,
2458700.500000000, A.D. 2019-Aug-05 00:00:00.0000, -1.394727647502404E+00,  9.057203613010986E-01,  5.319949925537253E-02,
2458701.500000000, A.D. 2019-Aug-06 00:00:00.0000, -1.401779391497704E+00,  8.951500868586002E-01,  5.315103139128809E-02,
2458702.500000000, A.D. 2019-Aug-07 00:00:00.0000, -1.408741114222676E+00,  8.845223304277433E-01,  5.309915017088769E-02,
2458703.500000000, A.D. 2019-Aug-08 00:00:00.0000, -1.415612400265673E+00,  8.738377943509680E-01,  5.304386011767082E-02,
2458704.500000000, A.D. 2019-Aug-09 00:00:00.0000, -1.422392838696642E+00,  8.630971831250870E-01,  5.298516590953668E-02,
2458705.500000000, A.D. 2019-Aug-10 00:00:00.0000, -1.429082023064707E+00,  8.523012033899364E-01,  5.292307237870579E-02,
2458706.500000000, A.D. 2019-Aug-11 00:00:00.0000, -1.435679551395858E+00,  8.414505639185997E-01,  5.285758451172371E-02,
2458707.500000000, A.D. 2019-Aug-12 00:00:00.0000, -1.442185026190184E+00,  8.305459756078485E-01,  5.278870744913532E-02,
2458708.500000000, A.D. 2019-Aug-13 00:00:00.0000, -1.448598054419228E+00,  8.195881514675356E-01,  5.271644648499466E-02,
